cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12
0.87	0.87	0.87	0.87	2.1	0.87	0.87	0.87	0.87	0.87	0.87	0.15
0.87	0.87	0.87	0.87	0.34	0.87	0.87	0.87	0.87	0.87	0.87	2.24
0.87	0.87	0.87	0.87	0.19	0.87	0.87	0.87	0.87	0.87	0.87	0.13
0.88	0.88	0.88	0.88	0.42	0.88	0.88	0.88	0.88	0.88	0.88	0.31
0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	1.29
0.88	0.88	0.88	0.88	0.36	0.88	0.88	0.88	0.88	0.88	0.88	0.77
0.88	0.88	0.88	0.88	2.14	0.88	0.88	0.88	0.88	0.88	0.88	1.14
0.88	0.88	0.88	0.88	1.82	0.88	0.88	0.88	0.88	0.88	0.88	2.26
0.88	0.88	0.88	0.88	0.34	0.88	0.88	0.88	0.88	0.88	0.88	5.2
0.88	0.88	0.88	0.88	0.98	0.88	0.88	0.88	0.88	0.88	0.88	0.36
0.88	0.88	0.88	0.88	1.8	0.88	0.88	0.88	0.88	0.88	0.88	0.91
0.88	0.88	0.88	0.88	1.06	0.88	0.88	0.88	0.88	0.88	0.88	1.45
0.88	0.88	0.88	0.88	1.94	0.88	0.88	0.88	0.88	0.88	0.88	3.18
0.89	0.89	0.89	0.89	0.3	0.89	0.89	0.89	0.89	0.89	0.89	1.16
0.89	0.89	0.89	0.89	0.22	0.89	0.89	0.89	0.89	0.89	0.89	0.96
0.89	0.89	0.89	0.89	0.48	0.89	0.89	0.89	0.89	0.89	0.89	1.46
0.89	0.89	0.89	0.89	1.73	0.89	0.89	0.89	0.89	0.89	0.89	2.19
0.89	0.89	0.89	0.89	0.5	0.89	0.89	0.89	0.89	0.89	0.89	1.55
0.89	0.89	0.89	0.89	0.05	0.89	0.89	0.89	0.89	0.89	0.89	0.84
0.89	0.89	0.89	0.89	0.38	0.89	0.89	0.89	0.89	0.89	0.89	0.69
0.89	0.89	0.89	0.89	0.22	0.89	0.89	0.89	0.89	0.89	0.89	0.35
0.89	0.89	0.89	0.89	1.42	0.89	0.89	0.89	0.89	0.89	0.89	2.81
0.89	0.89	0.89	0.89	0.15	0.89	0.89	0.89	0.89	0.89	0.89	2.26
0.9	0.9	0.9	0.9	0.42	0.9	0.9	0.9	0.9	0.9	0.9	1.32
0.9	0.9	0.9	0.9	2.28	0.9	0.9	0.9	0.9	0.9	0.9	0.63
0.9	0.9	0.9	0.9	0.06	0.9	0.9	0.9	0.9	0.9	0.9	0.42
0.9	0.9	0.9	0.9	1.56	0.9	0.9	0.9	0.9	0.9	0.9	0.66
0.9	0.9	0.9	0.9	1.88	0.9	0.9	0.9	0.9	0.9	0.9	2.73
0.9	0.9	0.9	0.9	2.35	0.9	0.9	0.9	0.9	0.9	0.9	1.53
0.9	0.9	0.9	0.9	1.27	0.9	0.9	0.9	0.9	0.9	0.9	1.92
0.9	0.9	0.9	0.9	2.77	0.9	0.9	0.9	0.9	0.9	0.9	3.46
0.9	0.9	0.9	0.9	1.41	0.9	0.9	0.9	0.9	0.9	0.9	2.64
0.9	0.9	0.9	0.9	2.18	0.9	0.9	0.9	0.9	0.9	0.9	3.07
0.91	0.91	0.91	0.91	0.17	0.91	0.91	0.91	0.91	0.91	0.91	1.13
0.91	0.91	0.91	0.91	1.42	0.91	0.91	0.91	0.91	0.91	0.91	1.26
0.91	0.91	0.91	0.91	0.9	0.91	0.91	0.91	0.91	0.91	0.91	4.16
0.91	0.91	0.91	0.91	1.61	0.91	0.91	0.91	0.91	0.91	0.91	0.52
0.91	0.91	0.91	0.91	0.44	0.91	0.91	0.91	0.91	0.91	0.91	4.07
0.91	0.91	0.91	0.91	1.69	0.91	0.91	0.91	0.91	0.91	0.91	0.26
0.91	0.91	0.91	0.91	0.37	0.91	0.91	0.91	0.91	0.91	0.91	3.8
0.91	0.91	0.91	0.91	1.26	0.91	0.91	0.91	0.91	0.91	0.91	4.98
0.91	0.91	0.91	0.91	0.16	0.91	0.91	0.91	0.91	0.91	0.91	0.75
0.91	0.91	0.91	0.91	0.24	0.91	0.91	0.91	0.91	0.91	0.91	0.42
0.92	0.92	0.92	0.92	0.27	0.92	0.92	0.92	0.92	0.92	0.92	0.44
0.92	0.92	0.92	0.92	0.85	0.92	0.92	0.92	0.92	0.92	0.92	0.48
0.92	0.92	0.92	0.92	0.23	0.92	0.92	0.92	0.92	0.92	0.92	0.16
0.92	0.92	0.92	0.92	0.17	0.92	0.92	0.92	0.92	0.92	0.92	0.24
0.92	0.92	0.92	0.92	2.21	0.92	0.92	0.92	0.92	0.92	0.92	1.02
0.92	0.92	0.92	0.92	1.32	0.92	0.92	0.92	0.92	0.92	0.92	0.97
0.92	0.92	0.92	0.92	0.99	0.92	0.92	0.92	0.92	0.92	0.92	3.06
0.92	0.92	0.92	0.92	1.67	0.92	0.92	0.92	0.92	0.92	0.92	0.95
0.92	0.92	0.92	0.92	1.46	0.92	0.92	0.92	0.92	0.92	0.92	1.45
0.92	0.92	0.92	0.92	0.48	0.92	0.92	0.92	0.92	0.92	0.92	2.07
0.93	0.93	0.93	0.93	0.17	0.93	0.93	0.93	0.93	0.93	0.93	0.32
0.93	0.93	0.93	0.93	1.03	0.93	0.93	0.93	0.93	0.93	0.93	0.57
0.93	0.93	0.93	0.93	0.34	0.93	0.93	0.93	0.93	0.93	0.93	2.31
0.93	0.93	0.93	0.93	0.54	0.93	0.93	0.93	0.93	0.93	0.93	0.19
0.93	0.93	0.93	0.93	2.4	0.93	0.93	0.93	0.93	0.93	0.93	0.53
0.93	0.93	0.93	0.93	1.37	0.93	0.93	0.93	0.93	0.93	0.93	1.71
0.93	0.93	0.93	0.93	1.12	0.93	0.93	0.93	0.93	0.93	0.93	0.18
0.93	0.93	0.93	0.93	0.16	0.93	0.93	0.93	0.93	0.93	0.93	3.41
0.93	0.93	0.93	0.93	2.95	0.93	0.93	0.93	0.93	0.93	0.93	0.39
0.93	0.93	0.93	0.93	0.06	0.93	0.93	0.93	0.93	0.93	0.93	0.06
0.94	0.94	0.94	0.94	1.02	0.94	0.94	0.94	0.94	0.94	0.94	1.15
0.94	0.94	0.94	0.94	0.25	0.94	0.94	0.94	0.94	0.94	0.94	5.09
0.94	0.94	0.94	0.94	0.3	0.94	0.94	0.94	0.94	0.94	0.94	0.23
0.94	0.94	0.94	0.94	0.38	0.94	0.94	0.94	0.94	0.94	0.94	3.37
0.94	0.94	0.94	0.94	2	0.94	0.94	0.94	0.94	0.94	0.94	1.47
0.94	0.94	0.94	0.94	1.62	0.94	0.94	0.94	0.94	0.94	0.94	1.11
0.94	0.94	0.94	0.94	1.2	0.94	0.94	0.94	0.94	0.94	0.94	2.58
0.94	0.94	0.94	0.94	0.14	0.94	0.94	0.94	0.94	0.94	0.94	0.65
0.94	0.94	0.94	0.94	2.31	0.94	0.94	0.94	0.94	0.94	0.94	1.31
0.94	0.94	0.94	0.94	2.06	0.94	0.94	0.94	0.94	0.94	0.94	1.49
0.95	0.95	0.95	0.95	1.53	0.95	0.95	0.95	0.95	0.95	0.95	2.62
0.95	0.95	0.95	0.95	0.41	0.95	0.95	0.95	0.95	0.95	0.95	1.32
0.95	0.95	0.95	0.95	1.17	0.95	0.95	0.95	0.95	0.95	0.95	1.24
0.95	0.95	0.95	0.95	0.26	0.95	0.95	0.95	0.95	0.95	0.95	1.77
0.95	0.95	0.95	0.95	1.1	0.95	0.95	0.95	0.95	0.95	0.95	1.16
0.95	0.95	0.95	0.95	0.54	0.95	0.95	0.95	0.95	0.95	0.95	1.4
0.95	0.95	0.95	0.95	0.82	0.95	0.95	0.95	0.95	0.95	0.95	0.18
0.95	0.95	0.95	0.95	1.07	0.95	0.95	0.95	0.95	0.95	0.95	4.12
0.95	0.95	0.95	0.95	1.46	0.95	0.95	0.95	0.95	0.95	0.95	0.37
0.95	0.95	0.95	0.95	0.45	0.95	0.95	0.95	0.95	0.95	0.95	2.68
0.96	0.96	0.96	0.96	0.3	0.96	0.96	0.96	0.96	0.96	0.96	1.8
0.96	0.96	0.96	0.96	0.75	0.96	0.96	0.96	0.96	0.96	0.96	0.33
0.96	0.96	0.96	0.96	1.36	0.96	0.96	0.96	0.96	0.96	0.96	0.2
0.96	0.96	0.96	0.96	0.79	0.96	0.96	0.96	0.96	0.96	0.96	1.66
0.96	0.96	0.96	0.96	1.15	0.96	0.96	0.96	0.96	0.96	0.96	2.21
0.96	0.96	0.96	0.96	0.05	0.96	0.96	0.96	0.96	0.96	0.96	0.56
0.96	0.96	0.96	0.96	1.6	0.96	0.96	0.96	0.96	0.96	0.96	0.91
0.96	0.96	0.96	0.96	0.11	0.96	0.96	0.96	0.96	0.96	0.96	0.3
0.96	0.96	0.96	0.96	0.18	0.96	0.96	0.96	0.96	0.96	0.96	2.34
0.96	0.96	0.96	0.96	0.46	0.96	0.96	0.96	0.96	0.96	0.96	3.35
0.97	0.97	0.97	0.97	2.17	0.97	0.97	0.97	0.97	0.97	0.97	0.15
0.97	0.97	0.97	0.97	1.19	0.97	0.97	0.97	0.97	0.97	0.97	0.42
0.97	0.97	0.97	0.97	1.85	0.97	0.97	0.97	0.97	0.97	0.97	0.09
0.97	0.97	0.97	0.97	1.3	0.97	0.97	0.97	0.97	0.97	0.97	0.73
0.97	0.97	0.97	0.97	1.04	0.97	0.97	0.97	0.97	0.97	0.97	1.47
0.97	0.97	0.97	0.97	1.39	0.97	0.97	0.97	0.97	0.97	0.97	1.15
0.97	0.97	0.97	0.97	0.04	0.97	0.97	0.97	0.97	0.97	0.97	0.95
0.97	0.97	0.97	0.97	1.43	0.97	0.97	0.97	0.97	0.97	0.97	1.09
0.97	0.97	0.97	0.97	1.65	0.97	0.97	0.97	0.97	0.97	0.97	2.26
0.97	0.97	0.97	0.97	2.18	0.97	0.97	0.97	0.97	0.97	0.97	1.45
0.98	0.98	0.98	0.98	0.72	0.98	0.98	0.98	0.98	0.98	0.98	3.09
0.98	0.98	0.98	0.98	1.32	0.98	0.98	0.98	0.98	0.98	0.98	1.49
0.98	0.98	0.98	0.98	1.38	0.98	0.98	0.98	0.98	0.98	0.98	0.33
0.98	0.98	0.98	0.98	3.38	0.98	0.98	0.98	0.98	0.98	0.98	2.98
0.98	0.98	0.98	0.98	2.14	0.98	0.98	0.98	0.98	0.98	0.98	1.33
0.98	0.98	0.98	0.98	0	0.98	0.98	0.98	0.98	0.98	0.98	2.13
0.98	0.98	0.98	0.98	1.72	0.98	0.98	0.98	0.98	0.98	0.98	0.07
0.98	0.98	0.98	0.98	0.88	0.98	0.98	0.98	0.98	0.98	0.98	1.78
0.98	0.98	0.98	0.98	1.45	0.98	0.98	0.98	0.98	0.98	0.98	1.81
0.98	0.98	0.98	0.98	0.29	0.98	0.98	0.98	0.98	0.98	0.98	0.28
0.99	0.99	0.99	0.99	1.71	0.99	0.99	0.99	0.99	0.99	0.99	3.41
0.99	0.99	0.99	0.99	0.49	0.99	0.99	0.99	0.99	0.99	0.99	1.58
0.99	0.99	0.99	0.99	0.24	0.99	0.99	0.99	0.99	0.99	0.99	1.61
0.99	0.99	0.99	0.99	1.88	0.99	0.99	0.99	0.99	0.99	0.99	3.31
0.99	0.99	0.99	0.99	1.04	0.99	0.99	0.99	0.99	0.99	0.99	0
0.99	0.99	0.99	0.99	1.26	0.99	0.99	0.99	0.99	0.99	0.99	0.79
0.99	0.99	0.99	0.99	1.11	0.99	0.99	0.99	0.99	0.99	0.99	2.06
0.99	0.99	0.99	0.99	1.15	0.99	0.99	0.99	0.99	0.99	0.99	1.02
0.99	0.99	0.99	0.99	1.72	0.99	0.99	0.99	0.99	0.99	0.99	1.34
0.99	0.99	0.99	0.99	2.41	0.99	0.99	0.99	0.99	0.99	0.99	1.35
1	1	1	1	0.41	1	1	1	1	1	1	2.78
1	1	1	1	0.32	1	1	1	1	1	1	0.07
1	1	1	1	1.16	1	1	1	1	1	1	2.36
1	1	1	1	0.72	1	1	1	1	1	1	1.17
1	1	1	1	0.9	1	1	1	1	1	1	1.4
1	1	1	1	1.09	1	1	1	1	1	1	4
1	1	1	1	2.46	1	1	1	1	1	1	1.38
1	1	1	1	1.41	1	1	1	1	1	1	1.4
1	1	1	1	3.4	1	1	1	1	1	1	0.27
1	1	1	1	0.51	1	1	1	1	1	1	2.15
1.01	1.01	1.01	1.01	2.29	1.01	1.01	1.01	1.01	1.01	1.01	3.03
1.01	1.01	1.01	1.01	1.13	1.01	1.01	1.01	1.01	1.01	1.01	2.65
1.01	1.01	1.01	1.01	2.03	1.01	1.01	1.01	1.01	1.01	1.01	3.94
1.01	1.01	1.01	1.01	1.75	1.01	1.01	1.01	1.01	1.01	1.01	0.35
1.01	1.01	1.01	1.01	1.36	1.01	1.01	1.01	1.01	1.01	1.01	4.51
1.01	1.01	1.01	1.01	2.65	1.01	1.01	1.01	1.01	1.01	1.01	2.45
1.01	1.01	1.01	1.01	1.52	1.01	1.01	1.01	1.01	1.01	1.01	1.8
1.01	1.01	1.01	1.01	1.28	1.01	1.01	1.01	1.01	1.01	1.01	0.6
1.01	1.01	1.01	1.01	2.1	1.01	1.01	1.01	1.01	1.01	1.01	0.71
1.01	1.01	1.01	1.01	2.21	1.01	1.01	1.01	1.01	1.01	1.01	2.09
1.02	1.02	1.02	1.02	0.59	1.02	1.02	1.02	1.02	1.02	1.02	1.29
1.02	1.02	1.02	1.02	0.2	1.02	1.02	1.02	1.02	1.02	1.02	2.41
1.02	1.02	1.02	1.02	0.87	1.02	1.02	1.02	1.02	1.02	1.02	2.26
1.02	1.02	1.02	1.02	0.58	1.02	1.02	1.02	1.02	1.02	1.02	0.52
1.02	1.02	1.02	1.02	0.55	1.02	1.02	1.02	1.02	1.02	1.02	2.06
1.02	1.02	1.02	1.02	1.26	1.02	1.02	1.02	1.02	1.02	1.02	1.32
1.02	1.02	1.02	1.02	2.04	1.02	1.02	1.02	1.02	1.02	1.02	2.25
1.02	1.02	1.02	1.02	0.71	1.02	1.02	1.02	1.02	1.02	1.02	2.92
1.02	1.02	1.02	1.02	0.48	1.02	1.02	1.02	1.02	1.02	1.02	1.06
1.02	1.02	1.02	1.02	0.77	1.02	1.02	1.02	1.02	1.02	1.02	0.82
1.03	1.03	1.03	1.03	0.28	1.03	1.03	1.03	1.03	1.03	1.03	0.36
1.03	1.03	1.03	1.03	0.76	1.03	1.03	1.03	1.03	1.03	1.03	1.21
1.03	1.03	1.03	1.03	1.25	1.03	1.03	1.03	1.03	1.03	1.03	1.21
1.03	1.03	1.03	1.03	1.08	1.03	1.03	1.03	1.03	1.03	1.03	4.21
1.03	1.03	1.03	1.03	0.71	1.03	1.03	1.03	1.03	1.03	1.03	3.79
1.03	1.03	1.03	1.03	2.23	1.03	1.03	1.03	1.03	1.03	1.03	1.9
1.03	1.03	1.03	1.03	2.09	1.03	1.03	1.03	1.03	1.03	1.03	0.81
1.03	1.03	1.03	1.03	3.12	1.03	1.03	1.03	1.03	1.03	1.03	1.25
1.03	1.03	1.03	1.03	0.12	1.03	1.03	1.03	1.03	1.03	1.03	2.36
1.03	1.03	1.03	1.03	1.44	1.03	1.03	1.03	1.03	1.03	1.03	2.88
1.04	1.04	1.04	1.04	2.38	1.04	1.04	1.04	1.04	1.04	1.04	1.24
1.04	1.04	1.04	1.04	1.52	1.04	1.04	1.04	1.04	1.04	1.04	1.66
1.04	1.04	1.04	1.04	1.64	1.04	1.04	1.04	1.04	1.04	1.04	0.45
1.04	1.04	1.04	1.04	0.79	1.04	1.04	1.04	1.04	1.04	1.04	2.56
1.04	1.04	1.04	1.04	1.63	1.04	1.04	1.04	1.04	1.04	1.04	2.37
1.04	1.04	1.04	1.04	1.77	1.04	1.04	1.04	1.04	1.04	1.04	0.43
1.04	1.04	1.04	1.04	0.45	1.04	1.04	1.04	1.04	1.04	1.04	0.5
1.04	1.04	1.04	1.04	0.21	1.04	1.04	1.04	1.04	1.04	1.04	1.65
1.04	1.04	1.04	1.04	1.08	1.04	1.04	1.04	1.04	1.04	1.04	1.29
1.04	1.04	1.04	1.04	1.32	1.04	1.04	1.04	1.04	1.04	1.04	5.07
1.05	1.05	1.05	1.05	0.84	1.05	1.05	1.05	1.05	1.05	1.05	4.28
1.05	1.05	1.05	1.05	1.28	1.05	1.05	1.05	1.05	1.05	1.05	0.38
1.05	1.05	1.05	1.05	1.53	1.05	1.05	1.05	1.05	1.05	1.05	0.9
1.05	1.05	1.05	1.05	0.68	1.05	1.05	1.05	1.05	1.05	1.05	0.37
1.05	1.05	1.05	1.05	1.85	1.05	1.05	1.05	1.05	1.05	1.05	4.14
1.05	1.05	1.05	1.05	2.59	1.05	1.05	1.05	1.05	1.05	1.05	1.59
1.05	1.05	1.05	1.05	0.76	1.05	1.05	1.05	1.05	1.05	1.05	0.91
1.05	1.05	1.05	1.05	0.07	1.05	1.05	1.05	1.05	1.05	1.05	1.47
1.05	1.05	1.05	1.05	0.96	1.05	1.05	1.05	1.05	1.05	1.05	2.36
1.05	1.05	1.05	1.05	2.62	1.05	1.05	1.05	1.05	1.05	1.05	0.5
1.06	1.06	1.06	1.06	2.87	1.06	1.06	1.06	1.06	1.06	1.06	0.92
1.06	1.06	1.06	1.06	1.49	1.06	1.06	1.06	1.06	1.06	1.06	0.45
1.06	1.06	1.06	1.06	1.77	1.06	1.06	1.06	1.06	1.06	1.06	0.53
1.06	1.06	1.06	1.06	1.46	1.06	1.06	1.06	1.06	1.06	1.06	2.82
1.06	1.06	1.06	1.06	0.57	1.06	1.06	1.06	1.06	1.06	1.06	2.1
1.06	1.06	1.06	1.06	2.52	1.06	1.06	1.06	1.06	1.06	1.06	1.53
1.06	1.06	1.06	1.06	1.92	1.06	1.06	1.06	1.06	1.06	1.06	0.25
1.06	1.06	1.06	1.06	1.23	1.06	1.06	1.06	1.06	1.06	1.06	0.23
1.06	1.06	1.06	1.06	1.15	1.06	1.06	1.06	1.06	1.06	1.06	4.97
1.06	1.06	1.06	1.06	2.56	1.06	1.06	1.06	1.06	1.06	1.06	1.06
1.07	1.07	1.07	1.07	2.99	1.07	1.07	1.07	1.07	1.07	1.07	1.52
1.07	1.07	1.07	1.07	0.97	1.07	1.07	1.07	1.07	1.07	1.07	2.17
1.07	1.07	1.07	1.07	0.97	1.07	1.07	1.07	1.07	1.07	1.07	0.7
1.07	1.07	1.07	1.07	1.37	1.07	1.07	1.07	1.07	1.07	1.07	2.75
1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	0.57
1.07	1.07	1.07	1.07	0.11	1.07	1.07	1.07	1.07	1.07	1.07	0.49
1.07	1.07	1.07	1.07	1.97	1.07	1.07	1.07	1.07	1.07	1.07	1.26
1.07	1.07	1.07	1.07	0.77	1.07	1.07	1.07	1.07	1.07	1.07	3.13
1.07	1.07	1.07	1.07	1.26	1.07	1.07	1.07	1.07	1.07	1.07	2.02
1.07	1.07	1.07	1.07	0.79	1.07	1.07	1.07	1.07	1.07	1.07	2.85
1.08	1.08	1.08	1.08	0.31	1.08	1.08	1.08	1.08	1.08	1.08	1.22
1.08	1.08	1.08	1.08	0.15	1.08	1.08	1.08	1.08	1.08	1.08	3.83
1.08	1.08	1.08	1.08	2.02	1.08	1.08	1.08	1.08	1.08	1.08	0.8
1.08	1.08	1.08	1.08	0.52	1.08	1.08	1.08	1.08	1.08	1.08	4.93
1.08	1.08	1.08	1.08	1.37	1.08	1.08	1.08	1.08	1.08	1.08	0.19
1.08	1.08	1.08	1.08	1.98	1.08	1.08	1.08	1.08	1.08	1.08	2.77
1.08	1.08	1.08	1.08	2.65	1.08	1.08	1.08	1.08	1.08	1.08	2.87
1.08	1.08	1.08	1.08	0.48	1.08	1.08	1.08	1.08	1.08	1.08	1.87
1.08	1.08	1.08	1.08	1.38	1.08	1.08	1.08	1.08	1.08	1.08	0.99
1.08	1.08	1.08	1.08	1.26	1.08	1.08	1.08	1.08	1.08	1.08	1.15
1.09	1.09	1.09	1.09	2.16	1.09	1.09	1.09	1.09	1.09	1.09	0.32
1.09	1.09	1.09	1.09	0.49	1.09	1.09	1.09	1.09	1.09	1.09	0.59
1.09	1.09	1.09	1.09	0.82	1.09	1.09	1.09	1.09	1.09	1.09	2.19
1.09	1.09	1.09	1.09	1.46	1.09	1.09	1.09	1.09	1.09	1.09	3.65
1.09	1.09	1.09	1.09	2.22	1.09	1.09	1.09	1.09	1.09	1.09	2.16
1.09	1.09	1.09	1.09	0.33	1.09	1.09	1.09	1.09	1.09	1.09	2.95
1.09	1.09	1.09	1.09	0.43	1.09	1.09	1.09	1.09	1.09	1.09	4.34
1.09	1.09	1.09	1.09	0.73	1.09	1.09	1.09	1.09	1.09	1.09	2.52
1.09	1.09	1.09	1.09	0.96	1.09	1.09	1.09	1.09	1.09	1.09	1.93
1.09	1.09	1.09	1.09	2.91	1.09	1.09	1.09	1.09	1.09	1.09	0.31
1.1	1.1	1.1	1.1	0.77	1.1	1.1	1.1	1.1	1.1	1.1	1.31
1.1	1.1	1.1	1.1	0.46	1.1	1.1	1.1	1.1	1.1	1.1	0.3
1.1	1.1	1.1	1.1	1.69	1.1	1.1	1.1	1.1	1.1	1.1	0.68
1.1	1.1	1.1	1.1	1.77	1.1	1.1	1.1	1.1	1.1	1.1	1.87
1.1	1.1	1.1	1.1	0.8	1.1	1.1	1.1	1.1	1.1	1.1	3.84
1.1	1.1	1.1	1.1	1.87	1.1	1.1	1.1	1.1	1.1	1.1	1.38
1.1	1.1	1.1	1.1	0.5	1.1	1.1	1.1	1.1	1.1	1.1	0.93
1.1	1.1	1.1	1.1	2.41	1.1	1.1	1.1	1.1	1.1	1.1	0.73
1.1	1.1	1.1	1.1	0.85	1.1	1.1	1.1	1.1	1.1	1.1	1.84
1.1	1.1	1.1	1.1	0.6	1.1	1.1	1.1	1.1	1.1	1.1	0.81
1.11	1.11	1.11	1.11	1.22	1.11	1.11	1.11	1.11	1.11	1.11	0.16
1.11	1.11	1.11	1.11	1.28	1.11	1.11	1.11	1.11	1.11	1.11	4.07
1.11	1.11	1.11	1.11	2.23	1.11	1.11	1.11	1.11	1.11	1.11	1.86
1.11	1.11	1.11	1.11	1.22	1.11	1.11	1.11	1.11	1.11	1.11	1.55
1.11	1.11	1.11	1.11	1.32	1.11	1.11	1.11	1.11	1.11	1.11	4.99
1.11	1.11	1.11	1.11	0.46	1.11	1.11	1.11	1.11	1.11	1.11	2.97
1.11	1.11	1.11	1.11	2	1.11	1.11	1.11	1.11	1.11	1.11	0.38
1.11	1.11	1.11	1.11	0.35	1.11	1.11	1.11	1.11	1.11	1.11	2.56
1.11	1.11	1.11	1.11	1.17	1.11	1.11	1.11	1.11	1.11	1.11	0.28
1.11	1.11	1.11	1.11	1.1	1.11	1.11	1.11	1.11	1.11	1.11	1.3
1.12	1.12	1.12	1.12	1.01	1.12	1.12	1.12	1.12	1.12	1.12	0.45
1.12	1.12	1.12	1.12	2.01	1.12	1.12	1.12	1.12	1.12	1.12	0.04
1.12	1.12	1.12	1.12	3.04	1.12	1.12	1.12	1.12	1.12	1.12	2.08
1.12	1.12	1.12	1.12	1.33	1.12	1.12	1.12	1.12	1.12	1.12	0.66
1.12	1.12	1.12	1.12	1.18	1.12	1.12	1.12	1.12	1.12	1.12	2.09
1.12	1.12	1.12	1.12	0.45	1.12	1.12	1.12	1.12	1.12	1.12	1.17
1.12	1.12	1.12	1.12	1.48	1.12	1.12	1.12	1.12	1.12	1.12	0.07
1.12	1.12	1.12	1.12	0.28	1.12	1.12	1.12	1.12	1.12	1.12	2.92
1.12	1.12	1.12	1.12	1.93	1.12	1.12	1.12	1.12	1.12	1.12	2.85
1.12	1.12	1.12	1.12	0.16	1.12	1.12	1.12	1.12	1.12	1.12	1.46
1.13	1.13	1.13	1.13	1.78	1.13	1.13	1.13	1.13	1.13	1.13	0.91
1.13	1.13	1.13	1.13	1.21	1.13	1.13	1.13	1.13	1.13	1.13	1.48
1.13	1.13	1.13	1.13	0.86	1.13	1.13	1.13	1.13	1.13	1.13	2.72
1.13	1.13	1.13	1.13	0.46	1.13	1.13	1.13	1.13	1.13	1.13	0.82
1.13	1.13	1.13	1.13	0.56	1.13	1.13	1.13	1.13	1.13	1.13	3.16
1.13	1.13	1.13	1.13	1.22	1.13	1.13	1.13	1.13	1.13	1.13	0.61
1.13	1.13	1.13	1.13	1.14	1.13	1.13	1.13	1.13	1.13	1.13	0.32
1.13	1.13	1.13	1.13	3.32	1.13	1.13	1.13	1.13	1.13	1.13	2.89
1.13	1.13	1.13	1.13	1.53	1.13	1.13	1.13	1.13	1.13	1.13	0.96
1.13	1.13	1.13	1.13	2.42	1.13	1.13	1.13	1.13	1.13	1.13	2.31
1.14	1.14	1.14	1.14	1.92	1.14	1.14	1.14	1.14	1.14	1.14	1.54
1.14	1.14	1.14	1.14	1.01	1.14	1.14	1.14	1.14	1.14	1.14	1.7
1.14	1.14	1.14	1.14	0.26	1.14	1.14	1.14	1.14	1.14	1.14	1.4
1.14	1.14	1.14	1.14	2.24	1.14	1.14	1.14	1.14	1.14	1.14	1.84
1.14	1.14	1.14	1.14	1.51	1.14	1.14	1.14	1.14	1.14	1.14	1.42
1.14	1.14	1.14	1.14	0.73	1.14	1.14	1.14	1.14	1.14	1.14	1.46
1.14	1.14	1.14	1.14	1.13	1.14	1.14	1.14	1.14	1.14	1.14	1.47
1.14	1.14	1.14	1.14	1.25	1.14	1.14	1.14	1.14	1.14	1.14	4.09
1.14	1.14	1.14	1.14	0.29	1.14	1.14	1.14	1.14	1.14	1.14	3.88
1.14	1.14	1.14	1.14	1.91	1.14	1.14	1.14	1.14	1.14	1.14	1.43
1.15	1.15	1.15	1.15	0.34	1.15	1.15	1.15	1.15	1.15	1.15	1.37
1.15	1.15	1.15	1.15	2.58	1.15	1.15	1.15	1.15	1.15	1.15	4.17
1.15	1.15	1.15	1.15	1.64	1.15	1.15	1.15	1.15	1.15	1.15	2.75
1.15	1.15	1.15	1.15	0.93	1.15	1.15	1.15	1.15	1.15	1.15	1.11
1.15	1.15	1.15	1.15	0.5	1.15	1.15	1.15	1.15	1.15	1.15	1.52
1.15	1.15	1.15	1.15	0.02	1.15	1.15	1.15	1.15	1.15	1.15	0.07
1.15	1.15	1.15	1.15	0.71	1.15	1.15	1.15	1.15	1.15	1.15	1.05
1.15	1.15	1.15	1.15	3.03	1.15	1.15	1.15	1.15	1.15	1.15	1.32
1.15	1.15	1.15	1.15	1.34	1.15	1.15	1.15	1.15	1.15	1.15	2.26
1.15	1.15	1.15	1.15	2.84	1.15	1.15	1.15	1.15	1.15	1.15	3.58
1.16	1.16	1.16	1.16	1.43	1.16	1.16	1.16	1.16	1.16	1.16	0.45
1.16	1.16	1.16	1.16	3.07	1.16	1.16	1.16	1.16	1.16	1.16	1.48
1.16	1.16	1.16	1.16	1.48	1.16	1.16	1.16	1.16	1.16	1.16	2.25
1.16	1.16	1.16	1.16	0.41	1.16	1.16	1.16	1.16	1.16	1.16	0.01
1.16	1.16	1.16	1.16	0.87	1.16	1.16	1.16	1.16	1.16	1.16	3.02
1.16	1.16	1.16	1.16	0.05	1.16	1.16	1.16	1.16	1.16	1.16	0.13
1.16	1.16	1.16	1.16	2.04	1.16	1.16	1.16	1.16	1.16	1.16	3.5
1.16	1.16	1.16	1.16	0.78	1.16	1.16	1.16	1.16	1.16	1.16	2.65
1.16	1.16	1.16	1.16	0.43	1.16	1.16	1.16	1.16	1.16	1.16	1.52
1.16	1.16	1.16	1.16	0.36	1.16	1.16	1.16	1.16	1.16	1.16	0.02
1.17	1.17	1.17	1.17	1.98	1.17	1.17	1.17	1.17	1.17	1.17	1.41
1.17	1.17	1.17	1.17	0.41	1.17	1.17	1.17	1.17	1.17	1.17	1.37
